Nombre,Ubicacion,Salario,Habilidades Clave,Formacion,Experiencia,Modalidad,Url,Descripcion
Ingeniero de maqueta senior,Bogota,"$2 a $2,5 millones","frontend
                                        
                                            sistemas
                                        
                                            desarrollador
                                        
                                            desarrollador web
                                        
                                    Desarrollador frontend
                                
                                    Desarrollador Web",Universitaria,"3 anos de experiencia
        
          Contrato Por obra o labor
        1886377063",None,/co/ofertas-trabajo/ingeniero-de-maqueta-senior-1886377063,"Importante empresa de sector de comunicaciones requiere para su equipo de trabajo ingeniero full stack senior tecnico, tecnologo o profesional en  desarrollo de software, ingeniero de sistemas, electronico o disenador web con conocimiento Entendimiento solido sobre el trabajo del disenador web y del desarrollador back-end y el manejo de conceptos basicos de SEO y UX/UI.Experiencia en administracion y desarrollo para CMS. Manejo del idioma ingles para comprension de documentacion tecnica.Salario: 5.100.000 +prestaciones de leyHorario: Horario: lunes a viernes 7:30 am a 5:30 pm
        

        
                Profesional
            
                Universitaria
            Ingenieria de sistemas  ComputacionTecn Sistemas  Computacion3 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Desarrollador backend.,Bogota,Salario a convenir,"Desarrollador
                                        
                                            backend
                                        
                                            Java
                                        
                                            AWS
                                        
                                            programador
                                        
                                    Desarrollador backend",Universitaria,"3 anos de experiencia
        
          Contrato Definido
        1886371972",None,/co/ofertas-trabajo/desarrollador-backend-1886371972,"Nos encontramos en la busqueda de nuestro proximo Desarrollador Backend para la ciudad de Bogota. Debe tener titulo profesional en Ingenieria de sistemas, telematica, electronica de software o a fines con experiencia minima de 3 anos en desarrollo backend trabajando con las siguientes tecnologia y/o herramientas Java, Patrones de diseno,Spring Boot, JavaScript/TypeScriptAPI’s, Microservicios/REST, AWS.
        

        
                Profesional
            
                Universitaria
            Ingenieria de sistemas  ComputacionIngenieria electronicaIngenieria telematicaAdministracion de sistemas informaticosIngenierìa De Software3 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Desarrollador alfresco remoto,Remoto,$8 a $10 millones,"alfresco
                                        
                                            Java
                                        
                                            desarrollador
                                        
                                            programador alfresco
                                        
                                    Lider de desarrollo de software
                                
                                    Arquitecto de software 
                                
                                    Desarrollador de software
                                
                                    Analista de desarrollo de software",Tecnico Laboral,"4 anos de experiencia
        
          Contrato Prestacion de Servicios
        1886375681",None,/co/ofertas-trabajo/desarrollador-alfresco-remoto-1886375681,"Importante empresa Espanola requiere para su equipo de trabajo Desarrollador Alfresco con minimo 4 anos de experiencia en total donde minimo 3 anos haya trabajado con Alfresco. Skills-Se solicita un developer en ALFRESCO  (Community o Entreprise), para proyecto de tiempo indefinido.- Experiencia de +3 anos en desarrollo especifico con Alfresco- Experiencia con JavaSalario: Negociables de acuerdo a la experienciaModalidad: Trabajo 100% remoto 2 - 3 meses con disponibilidad de traslado a Espana despues de este periodo.Horario: 3:00 AM a 11:00AM de lunes a viernes (intercambio horario con Europa), en Espana el horario es de 9:00am a 5:00pmContrato: IndefinidoBeneficios: Reconocimientos mensuales con viajes para dos personas a Cartagena, Santa Marta, San Andres y/o Panama.
        

        
                Profesional
            
                Tecnico Laboral
            Ingenieria de sistemas  ComputacionTecn Sistemas  ComputacionAdministracion de sistemas informaticosTecnico en desarrollo y mantenimiento de softwareIngenierìa De Software4 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Desarrollador,Bogota,Salario a convenir,"java
                                        
                                            .net
                                        
                                            desarrollador
                                        
                                            software
                                        
                                            api
                                        
                                            SQL
                                        
                                    Desarrollador",Tecnologica,"2 anos de experiencia
        
          Contrato Indefinido
        1886374901",None,/co/ofertas-trabajo/desarrollador-1886374901,"Nos encontramos en busqueda de un desarrollador junior con experiencia o conocimiento:Requisitos Academicos y ExperienciaEstudiantes de ultimo semestre o recien egresados de Ingenieria de Sistemas, Ciencias de la Computacion o carreras afines.Minimo 3 anos de experiencia desarrollando aplicaciones web y/o sistemas empresariales.Habilidades Tecnicas y FuncionesIIS (Internet Information Services):Administracion y configuracion de servidores IIS para aplicaciones web.Resolucion de problemas de despliegue en entornos de produccion y desarrollo..NET Framework / .NET CoreJavaScriptSQL Server:Herramientas adicionales:Git o sistemas similares de control de versiones.Experiencia en entornos agiles (Scrum, Kanban).IdiomasIngles intermedio: Lectura de manuales tecnicos y capacidad de dialogoOfrecemosSalario: Abierto a negociacion y de acuerdo a aspiracion salarialContrato indefinidoModalidad hibridaLugar de trabajo en el norte de BogotaBonificaciones Basadas en desempeno.Apoyo en formacion academica.Oportunidad de crecimiento y aprendizaje en un entorno estructurado y colaborativo.Si cumples con el perfil, te invitamos a postularte y ser parte de nuestro equipo
        

        
                Profesional
            
                Tecnologica
            Ingenieria de sistemas  ComputacionTecn Sistemas  Computacion2 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Desarrollador web / desarrollador de software / programador / fontibon,Bogota,"$2,5 a $3 millones","analistas
                                        
                                            desarrollador
                                        
                                            desarrollador web
                                        
                                            tecnico en sistemas
                                        
                                    Desarrollador
                                
                                    Desarrollador de software
                                
                                    Analista de desarrollo de software",Formacion Tec profesional,"1 ano de experiencia
        
          Contrato Por obra o labor
        1886375084",None,/co/ofertas-trabajo/desarrollador-web---desarrollador-de-software---programador---fontibon-1886375084,"Unete a Nuestro Equipo Buscamos Desarrollador Web Importante compania del sector de consumo masivo esta en busqueda de un talentoso Tecnologo o Profesional en Ingenieria de Sistemas para formar parte de nuestro equipo como Desarrollador Web.  Requisitos:  Experiencia minima de 1 ano en desarrollo de software a medida. Certificacion en toma de requerimientos, gestion y administracion de sistemas web y bases de datos. Soporte tecnico, correccion de codigo y actualizacion de software. Aplicacion de buenas practicas, capacitacion y documentacion del software. Control de versiones y gestion de proyectos. Habilidades Tecnicas:  HTML, CSS, JavaScript, PHP, SQL Server. Git y GitHub. Manejo de servidores remotos, gestion de servicios y servidores (XAMPP, WAMPServer). Python y Bootstrap. Consumo de librerias y APIs. Habilidades en diseno UI/UX. Web semantica, consultas avanzadas en bases de datos. Creacion de Jobs, triggers y funciones. Despliegue de aplicaciones y seguridad basica. Ofimatica y Google Workspace.  Horario: Lunes a Viernes de 7:00 am a 5: 00 pm Salario: $2.800.000 + prestaciones de ley + fondo de empleados Solo si cuentas con experiencia certificada y deseas unirte a nuestro equipo, no dudes en postularte
        

        
                Profesional
            
                Formacion Tec profesional
            Tecn Sistemas  ComputacionTecnologo en Sistemas1 ano de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Desarrollador backend,Medellin,$8 a $10 millones,"Desarrollador
                                        
                                            Backend
                                        
                                    Desarrollador backend",Tecnico Laboral,"4 anos de experiencia
        
          Contrato Indefinido
        1886377554",None,/co/ofertas-trabajo/desarrollador-backend-1886377554,"Nos encontramos en la busqueda de un desarrollador backend que cuente con experiencia minima de 4 anos con los siguientes skills Net Core, AWS, Mongo DB, SQL.Ofrecemos:-Contrato a termino indefinido.-Modalidad Hibrida (1 dia presencial 4 dias remoto).-Salario: A convenir + Beneficios.-Ubicacion: Medellin.
        

        
                Profesional
            
                Tecnico Laboral
            Ingenieria de sistemas  Computacion4 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Desarrollador java middle/ hibrido / bogota,Bogota,Salario a convenir,"desarrollador java
                                        
                                            desarrollador backend
                                        
                                            java
                                        
                                            PLSQL
                                        
                                    Ingeniero de sistemas",Universitaria,"4 anos de experiencia
        
          Contrato Indefinido
        1886387315",None,/co/ofertas-trabajo/desarrollador-java-middle--hibrido---bogota-1886387315,"Se parte de Stefanini En Stefanini somos mas de 30.000 genios, conectados desde 41 paises, haciendo lo que les apasiona y co-creando un futuro mejor. Seguro no te quieres quedar fueraStefanini necesita – Desarrollador Java Middle  – Hibrido – Bogota Por que te elegiremos Porque los desafios que asumiras reflejan tus ambiciones Para enfrentar mejor estos desafios, necesitas:Requisitos y competencias: ·	Profesional de ingenieria de sistemas o carreras afines·	Experiencia de 4+ anos como desarrollador Java utilizando de la version 17 en adelante  ·	Experiencia en  PLSQL, Integracion y despliegues continuos, Jenkins, Git, Nube Azure·	Experiencia en el sector TI y deseable negocio financiero Implementacion de metodologias agiles. Lenguajes y logica de programacion.Ofrecemos: ·	Contrato indefinido·	Modalidad de trabajo Hibrido / Bogota·	Excelente clima laboral con un ambiente calido donde te sentiras en familia.·	Programa plan carrera y formacion e-learning especializada·	Auxilios economicos para ocasiones especiales entre otrosTe estamos esperando
        

        
                Profesional Senior
            
                Universitaria
            Ingenieria de sistemas  ComputacionIngenierìa De Software4 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Desarrolladores fullstack,Bogota,Salario a convenir,"Fullstack
                                        
                                            desarrollador
                                        
                                    Administrador de sistemas",Tecnico Laboral,"5 anos de experiencia
        
          Contrato Indefinido
        1886385753",None,/co/ofertas-trabajo/desarrolladores-fullstack-1886385753,"Se busca un profesional titulado en Ingenieria de Sistemas o carreras afines, con al menos 5 anos de experiencia comprobada en desarrollo de software. El candidato debe contar con solidos conocimientos y habilidades en las siguientes areas:Desarrollo Frontend:	•	HTML5: Dominio en la creacion y estructuracion de contenido web.	•	jQuery: Experiencia en el uso de bibliotecas para la manipulacion de DOM y eventos.	•	CSS3: Conocimientos avanzados en diseno y estilizacion de interfaces.	•	Razor: Manejo de vistas en aplicaciones ASP.NET MVC.Desarrollo Backend:	•	ASP.NET MVC (C#): Experiencia en el desarrollo de aplicaciones web robustas y escalables.	•	Patrones de Diseno: Implementacion de principios de diseno para soluciones eficientes y reutilizables.Bases de Datos:	•	Microsoft SQL Server: Dominio en diseno, consultas, procedimientos almacenados y optimizacion de bases de datos relacionales.Lenguajes de Programacion:	•	C#: Experiencia en programacion orientada a objetos y desarrollo de aplicaciones.	•	SQL: Conocimientos solidos en consultas y manipulacion de bases de datos.Desarrollo Agil: Conocimientos en metodologias agiles y herramientas de gestion de proyectos.
        

        
                Profesional
            
                Tecnico Laboral
            Ingenieria de sistemas  Computacion5 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Desarrollador semi senior .net y sql,Bogota,"$3,5 a $4 millones","desarrollador de software
                                        
                                    Desarrollador de software",Tecnologica,"2 anos de experiencia
        
          Contrato Prestacion de Servicios
        1886386460",None,/co/ofertas-trabajo/desarrollador-semi-senior-net-y-sql-1886386460,"Estamos en la busqueda de un apasionado desarrollador .NET con experiencia en SQL Server y solidos conocimientos en herramientas DevOps como Jira y Bitbucket. Unete a nuestro equipo para contribuir al desarrollo de soluciones innovadoras y formar parte de un entorno colaborativo y dinamico. Responsabilidades:  -Desarrollar y mantener aplicaciones utilizando tecnologias .NET. Disenar y optimizar bases de datos utilizando SQL Server. Colaborar en la implementacion y seguimiento de metodologias DevOps.  -Trabajar con herramientas como Jira y Bitbucket para el control y gestion de proyectos.Requisitos: -Experiencia solida en desarrollo utilizando .NET.-Profundo conocimiento de SQL Server y diseno de bases de datos. -Familiaridad con metodologias y herramientas DevOps como Jira y Bitbucket. -Habilidad para trabajar en equipo y resolver problemas de manera efectiva. -Excelentes habilidades de comunicacion y capacidad para adaptarse a entornos dinamicos. -Manejo de equipos de trabajo. -Preferiblemente ingles avanzado. Si estas buscando un desafio emocionante y crecimiento profesionalUnete a nuestro equipo Postulate.
        

        
                Profesional
            
                Tecnologica
            Ingenieria de sistemas  ComputacionIngenierìa De SoftwareTecnologo en Sistemas2 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Ingeniero de desarrollo,Remoto,Salario a convenir,"ingeniero
                                        
                                            desarrollador
                                        
                                    Desarrollador full stack",Universitaria,"3 anos de experiencia
        
          Contrato Indefinido
        1885843299",None,/co/ofertas-trabajo/ingeniero-de-desarrollo-1885843299,"Importante empresa de Telecomunicaciones requiere profesional en Ingenieria Electronica, de Sistemas, Telecomunicaciones o afines; experiencia minima de 3 anos como (Ingeniero o Especialista de Desarrollo); conocimientos en Sistemas OSS (JAVA, PHP, MYSQL, APACHE, TOMCAT, WEBLOGIC, SOA) o BSS (CRM Salesforce y BRM), redes, servicios de comunicaciones y herramientas en gestion de incidencias
        

        
                Profesional Senior
            
                Universitaria
            Ingenieria de sistemas  ComputacionIngenieria electronicaIngenieria de telecomunicacionesIngenieria de redes y telecomunicaciones3 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Desarrollador java / python (remoto en bogota),Remoto,$6 a $8 millones,"Desarrollador
                                        
                                            Desarrollador Backend
                                        
                                            Desarrollador Full Stack
                                        
                                            Java
                                        
                                            Python
                                        
                                            Azure
                                        
                                            Bogota
                                        
                                    Desarrollador
                                
                                    Desarrollador full stack
                                
                                    Desarrollador backend
                                
                                    Analista de desarrollo de software",Universitaria,"2 anos de experiencia
        
          Contrato Indefinido
        1886369268",None,/co/ofertas-trabajo/desarrollador-java---python-remoto-en-bogota-1886369268,"Te apasiona el desarrollo y soporte de aplicaciones empresariales Esta es tu oportunidad para unirte a un equipo dinamico, donde garantizaras el funcionamiento eficiente de plataformas tecnologicas y trabajaras en desarrollos evolutivos y correctivos para una empresa en Bogota.Detalles de la posicionModalidad: Remoto en Bogota, con disponibilidad para asistir a la oficina una vez cada dos semanas.Salario: $6.000.000 - $7.500.000Horario: Lunes a viernes, de 8:00 a.m. a 6:00 p.m.Que haras en este rol- Monitorear, mantener y resolver incidencias en aplicaciones criticas para el negocio.Proporcionar soporte avanzado como punto de escalamiento para problemas complejos.- Disenar e implementar nuevas funcionalidades y soluciones para aplicaciones empresariales.- Trabajar con Java y Python, utilizando frameworks como Spring Boot y Django.- Aplicar medidas de seguridad y mitigar vulnerabilidades en aplicaciones y bases de datos.- Liderar pruebas de continuidad tecnologica y garantizar la estabilidad operativa.- Actuar como enlace entre usuarios y equipos tecnicos.- Brindar capacitacion y mentoria a equipos de TI y usuarios finales.Requisitos- Titulo en Ingenieria de Sistemas, Ingenieria Informatica o areas afines.- Experiencia minima de 2 anos en el desarrollo con Java y Python, orientado a microservicios y API Rest.- Ingles B2 - C1- Gestion de bases de datos como PostgreSQL, SQL Server, y Oracle.- Familiaridad con entornos de nube (Preferiblemente Azure), contenedores (Docker) y orquestadores (Kubernetes).- Deseable experiencia en herramientas de DevOps como Jenkins, GitLab CI/CD y Azure DevOps.- Conocimiento en seguridad informatica, estandares como OWASP, y practicas de ciberseguridad.
        

        
                Profesional
            
                Universitaria
            Ingenieria de sistemas  ComputacionIngenieria electronicaIngenieria de telecomunicacionesIngenieria telematicaIngenierìa De Software2 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Desarrollador web front end,Bogota,"$3,5 a $4 millones","desarrollador web
                                        
                                            frontend
                                        
                                            programador web
                                        
                                            UI
                                        
                                            UX
                                        
                                            fullstack
                                        
                                            desarrollador frontend
                                        
                                    Desarrollador frontend",Universitaria,"3 anos de experiencia
        
          Contrato Indefinido
        1886383241",None,/co/ofertas-trabajo/desarrollador-web-front-end-1886383241,"Somos una empresa especializada en el diseno, desarrollo y construccion de sitios web  y aplicciones para comercio electronico  y actualmente estamos en busqueda de un Desarrollador web Frontend para unirse a nuestro equipo en la ciudad de Bogota.Responsabilidades:Colaborar en la construccion de proyectos web, desde la concepcion hasta la implementacion.Trabajar con diversos CMS como Magento, Wordpress, Drupal, Moodle, entre otros y frameworks como Laravel, Flutter, ReactJS, AngularJS y Vue.js, entre otros.Realizar el montaje y maquetacion web con Javascript y CSS incluyendo preprocesasdores como Less,  para asegurar la mejor experiencia de usuario.Utilizar librerias como jQuery, Bootstrap, entre otras, para mejorar la funcionalidad y el diseno.Realizar integraciones basicas con API's  como Geolocalizacion de Google Maps, Loggin con Google y Apple, Feeds de redes sociales, entre otros.Optimizar y depurar codigo para mejorar el rendimiento y la velocidad de los sitios web.Ofrecemos:Contrato a termino indefinido.Opciones de trabajo hibrido o presencial, importante que vivas en BogotaHorario: Lunes a Viernes.Si estas interesad@ en desarrollar todo tu potencial junto a nuestro equipo envianos tu HDV.
        

        
                Profesional
            
                Universitaria
            Ingenieria de sistemas  ComputacionOtrosIngenierìa De Software3 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
